day,nation_name,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
14,Yellow,30,11.974467761130139,12,62,30,1379.991,101,28,10
14,Blue,45,54.83493827992843,10,25,28,331.96400000000017,76,36,10
14,Green,27,8.110895044325899,8,30,43,213.0,82,34,0
15,Purple,17,64.98615277110635,11,64,23,447.0,97,19,0
15,White,47,8.328873806517684,14,32,27,66.99599999999998,84,12,20
15,Pink,27,4.817879644591968,9,63,39,23.497999999999998,113,27,0
15,Red,44,39.74819046877766,10,0,-61,1399.9019999999982,2,10,40
15,Yellow,26,12.585285961546223,12,67,42,1379.991,116,32,-10
15,Blue,51,57.06145666219603,10,28,37,331.9630000000002,89,39,10
15,Green,30,8.273924034716849,8,32,44,213.0,88,35,0
