"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"14","Red","31","44.030080936485184","12","22","10","1399.9719999999995","46","13","20"
"14","Yellow","22","11.500461518426002","18","45","27","1379.9879999999998","90","14","10"
"14","Blue","20","73.87448174666012","25","44","25","331.99800000000005","79","16","10"
"14","Green","12","9.894893077929837","10","39","26","212.995","65","12","0"
"15","Purple","14","66.27937784830804","13","58","21","446.98800000000006","84","15","-10"
"15","White","17","13.405397032507937","21","68","12","66.98599999999999","96","11","10"
"15","Pink","9","4.190144366443263","12","38","27","23.495","69","14","0"
"15","Red","31","44.87017047774523","12","24","9","1399.9719999999995","48","12","20"
"15","Yellow","22","11.966253210845293","19","48","28","1379.9879999999998","95","14","10"
"15","Blue","21","76.86654600636335","26","47","27","331.99800000000005","85","17","10"
"15","Green","12","10.398612597745872","11","43","27","212.995","71","13","0"
